geoid,"% white, non-Hispanic","% black, non-Hispanic",% Hispanic,% Native American race,% Asian and Pacific Islander race,% Hawaiian race,% Indian birth/race,% Chinese birth/race,% Filipino birth/race,% Japanese birth/race,% Korean birth/race,% Vietnamese race,"% 15 and under, non-Hispanic white","% 60 and older, non-Hispanic white","% 15 and under, non-Hispanic black","% 60 and older, non-Hispanic black","% 15 and under, Hispanic","% 60 and older, Hispanic","% 15 and under, Native American","% 60 and older, Native American","% 15 and under, Asian/  Pacific Islanders","% 60 and older, Asian/  Pacific Islanders",% Mexican birth/ethnicity,% Cuban birth/ethnicity,% Puerto Rican birth/ethnicity,% Russian/USSR parentage/ancestry,% Italian parentage/ancestry,% German parentage/ancestry,% Irish parentage/ancestry,% Scandinavian parentage/ancestry,% foreign born,% immigrated in past 10 years,% Naturalized,"% speaking other language at home, age 5+","% speaking English not well, age 5+",% Russian/USSR birth,% Italian birth,% German birth,% Irish birth,% Scandinavian birth,% with high school degree or less,% with 4-year college degree or more,% unemployed,% female labor force participation,% professional employees,% manufacturing employees,% self-employed,% veteran,% with disability,"Median HH income, total","Median HH income, whites","Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income,"% in poverty, total","% in poverty, 65+","% in poverty, families with children","% in poverty, whites","% in poverty, African Americans","% in poverty, Hispanics","% in poverty, Native Americans","% in poverty, Asian/ Pacific Islanders",% vacant units,% owner-occupied units,% multi-family units,Median home value,Median rent,% structures more than 30 years old,% HH in neighborhood 10 years or less,"% 17 and under, total","% 60 and older, total","% 75 and older, total","% currently married, not separated","% widowed, divorced and separated",% female-headed families with children,year
48021950100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
48209010100,69.42766896,5.661342203,23.93313162,0.257330021,0.205867435,3.86E-06,,0.102931789,,,0.102931789,,10.94285153,18.39149709,4.273742433,42.73477293,25.71477345,11.22459808,,,,,22.74938984,5.51E-07,2.20E-06,0.376742155,1.022585907,7.427221903,1.829909548,0.699664044,3.390874145,0.322940867,2.637327654,25.4144693,4.134789532,,,,,,42.13991404,38.60899218,3.337347111,48.73717058,35.7579211,9.371258785,3.699144444,12.38322176,7.66344945,9836.983397,16953.05777,11499.94364,9836.983397,,5906.945909,25.18197886,0.131522482,5.454899278,25.9106965,29.0596718,19.1276564,,,6.636167714,41.66695355,45.50730742,38999.61905,212.99942,67.67757572,72.13906483,16.16090132,16.57228245,6.690641356,32.7436488,16.283174,6.969903426,1980
48209010200,85.58857549,2.839116665,10.1444461,0.2324423,0.6973269,0.016603021,0.016603021,0.398472514,0.016603021,0.132824171,0.033206043,0.066412086,3.620230701,2.48447205,,,1.893287435,,,,,,8.417731867,0.066412086,0.049809064,,2.177472126,13.32678429,6.434184554,0.605762922,4.076620748,2.144728225,1.489849378,13.22341277,1.104699072,,,0.245579568,,,24.00835073,48.434238,5.122615804,31.89923578,21.99885123,3.733486502,3.676048248,1.671784374,1.968641115,9615.000183,26973.68449,,9615.000183,,2951.000056,48.3955459,0.081484599,2.884615385,46.94167762,77.41935484,30.76923077,,100,3.4375,29.61165049,53.14900154,51479.00098,271.0000052,27.95698925,85.55555556,7.952847266,2.523659258,0.547899707,6.314521679,1.875430145,3.365384615,1980
48209010302,54.09159566,3.520836196,41.34231807,0.123779397,0.385091459,,0.220052262,0.137532664,0.027506533,,,,15.71059524,9.939707144,26.15384523,8.846153534,29.71277725,9.343017523,,,,,39.70568149,0.027506533,0.220052262,0.192070243,0.576210728,9.068459532,2.935930915,0.974070548,3.553299521,1.646316367,1.577719852,41.21700797,6.876833072,0.082315818,,0.068596515,,,70.60881575,12.52624215,4.005847918,52.04835445,20.34724184,11.75753885,4.782211158,10.39755319,4.378316678,8883.000082,13350.51552,12083.33341,8883.000082,,4097.000153,34.94044345,0.023124546,10.63982794,36.20720314,37.14285842,25.17718667,,,6.898861432,37.94963975,38.9830501,33114.00083,220.0000005,10.76769625,90.36057859,21.38632876,10.301197,4.098473321,37.02897149,12.97940069,8.267434035,1980
48209010303,54.09175655,3.520816304,41.34219301,0.123780594,0.38508548,,0.22004757,0.137529731,0.027506584,3.19E-07,1.28E-06,,15.71086987,9.939714851,26.15368652,8.846491092,29.71286442,9.342961103,,,,,39.70556347,0.027506265,0.220048846,0.192066157,0.576202973,9.068449119,2.935932182,0.974060019,3.553284053,1.646303992,1.577717843,41.21686485,6.87679953,0.08231407,,0.068596649,,,70.60879143,12.52633935,4.005817854,52.04840886,20.347232,11.7575858,4.782297529,10.39763396,4.378346257,8883.156582,13350.77353,12083.27755,8883.156582,,4097.052725,34.93996834,0.023124418,10.63971217,36.20660599,37.14285892,25.17712448,,,6.89891393,37.95028069,38.98246783,33114.2711,220.0000025,10.76797188,90.36027966,21.38661112,10.30120652,4.098439372,37.0295305,12.97934051,8.267337849,1980
48209010304,54.09175682,3.520816381,41.34219379,0.123780586,0.385085498,,0.220047575,0.137529739,0.027506585,3.19E-07,1.28E-06,,15.71086993,9.939713966,26.15368641,8.846490108,29.71286129,9.342961112,,,,,39.7055647,0.027506266,0.220048851,0.192066166,0.576202935,9.068449141,2.935932076,0.974060029,3.553284268,1.646303993,1.577717843,41.2168691,6.876799938,0.08231407,,0.068596649,,,70.60879657,12.52633891,4.005817732,52.04841031,20.34723277,11.75758666,4.782298031,10.39763397,4.378346072,8883.157165,13350.77303,12083.27659,8883.157165,,4097.052991,34.93997047,0.023124418,10.63971188,36.20660709,37.1428586,25.17712559,,,6.898914034,37.9502822,38.98246748,33114.27074,220.0000049,10.76797058,90.36027587,21.38660988,10.30120588,4.098439382,37.02953137,12.97934036,8.267338339,1980
48209010400,18.32092645,2.894954517,78.45326742,0.041356493,0.206782466,,0.124069479,,,,,0.082712986,27.52880922,8.706786172,18.42105263,5.263157895,28.52441031,6.582556226,,,,,75.35153044,,0.454921424,,,4.182194631,0.579710147,,4.140786763,,2.525879917,70.57502268,9.568733184,,,,,,82.93718166,6.960950764,3.541315346,62.36080178,14.42307692,18.70629371,6.730769231,10.47396138,6.832694764,15512.99995,18294.11765,21875,15512.99995,,4618.999985,13.87959871,0.09962137,9.281961471,9.031838886,,16.14325069,,,3.409090909,83.69747899,10.95238095,28137.99991,153.9999995,16.34920635,69.0515807,37.51033925,8.064516156,2.067824655,57.24423418,9.461856889,10.15761821,1980
48209010500,10.91443884,5.305834973,83.52031104,0.034275407,0.218102832,0.215286701,,0.001408066,,,0.001408066,,27.34912842,12.95529688,18.08075306,27.10675949,33.60915863,12.96719297,,,,,82.02786626,0.030755243,0.123020971,0.004884583,0.013258155,1.102230383,1.029659431,0.00907137,10.34716743,1.010121077,7.045249266,83.87368944,20.21723715,,,,,,90.09109865,3.895375701,6.26168476,35.10667187,6.095821486,17.58913113,4.251482479,5.500775761,10.25389386,8359.713073,12634.38286,6942.202652,8359.713073,,2882.940936,30.81461659,0.128635633,21.45061031,29.3176097,19.46420392,32.4188738,,,7.654701779,66.22022085,22.89065163,18550.60352,127.2016747,37.78447535,52.58663384,34.32862957,14.98921515,4.274237273,52.33385965,15.485555,16.33958068,1980
48209010600,77.41661202,1.605336594,20.62187557,0.148105423,0.148001887,,,0.088759718,,0.059035097,0.000207072,,22.59254587,10.65383996,4.273504038,42.73504331,37.24769353,8.197217944,,,,,19.82252043,0.059035097,0.088552645,0.214849873,0.216137261,11.36204648,4.652652212,1.163645824,2.27008998,0.367670367,1.289850189,21.65971886,3.160972235,,,0.519954453,,,42.72132607,38.7151761,3.423608542,53.04947262,41.19367104,12.23535269,6.416234609,15.91489704,5.385606131,18292.66208,22655.6724,11500.00011,18292.66208,,7678.429067,16.57045487,0.022931329,8.657697211,12.80648759,29.05982873,25.06964023,,,6.329856808,71.46512708,19.03086182,55769.38735,247.8274468,19.16734326,74.46417276,26.92299696,11.19097195,2.758591705,57.70321238,10.1820618,4.207894181,1980
48209010701,89.68769137,1.687776107,7.616260476,0.223614344,0.447794631,0.02788812,0.000905545,0.056342205,0.028001316,0.306769323,0.027888125,,15.66633346,11.47347884,19.76578394,0.065260202,16.75570716,1.938488939,,,,,7.02387463,0.028001314,0.00090555,0.24682678,0.87717479,11.27295856,2.800440388,2.929200613,4.41593176,3.177969394,3.095675344,10.82137371,0.853609842,0.000332892,,0.711088607,,,29.70024083,47.30392097,4.746980674,48.46558336,44.90697344,7.595679592,13.43416754,12.92418798,4.096433073,14870.19871,25415.61361,12083.27748,14870.19871,,7163.329366,22.8807768,0.018674698,1.491027124,22.37832213,14.23491559,48.28361464,,,10.15234087,51.21260546,41.10298492,69544.87856,288.6205089,7.084757866,80.71416507,21.95229682,8.910813973,2.136363215,42.60963779,7.190271219,1.770842399,1980
