geoid,period,"% white, non-Hispanic","% black, non-Hispanic",% Hispanic,% Native American race,% Asian and Pacific Islander race,% Hawaiian race,% Indian birth/race,% Chinese birth/race,% Filipino birth/race,% Japanese birth/race,% Korean birth/race,% Vietnamese race,"% 15 and under, non-Hispanic white","% 60 and older, non-Hispanic white","% 15 and under, non-Hispanic black","% 60 and older, non-Hispanic black","% 15 and under, Hispanic","% 60 and older, Hispanic","% 15 and under, Native American","% 60 and older, Native American","% 15 and under, Asian/  Pacific Islanders","% 60 and older, Asian/  Pacific Islanders",% Mexican birth/ethnicity,% Cuban birth/ethnicity,% Puerto Rican birth/ethnicity,% Russian/USSR parentage/ancestry,% Italian parentage/ancestry,% German parentage/ancestry,% Irish parentage/ancestry,% Scandinavian parentage/ancestry,% foreign born,% immigrated in past 10 years,% Naturalized,"% speaking other language at home, age 5+","% speaking English not well, age 5+",% Russian/USSR birth,% Italian birth,% German birth,% Irish birth,% Scandinavian birth,% with high school degree or less,% with 4-year college degree or more,% unemployed,% female labor force participation,% professional employees,% manufacturing employees,% self-employed,% veteran,% with disability,"Median HH income, total","Median HH income, whites","Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income,"% in poverty, total","% in poverty, 65+","% in poverty, families with children","% in poverty, whites","% in poverty, African Americans","% in poverty, Hispanics","% in poverty, Native Americans","% in poverty, Asian/ Pacific Islanders",% vacant units,% owner-occupied units,% multi-family units,Median home value,Median rent,% structures more than 30 years old,% HH in neighborhood 10 years or less,"% 17 and under, total","% 60 and older, total","% 75 and older, total","% currently married, not separated","% widowed, divorced and separated",% female-headed families with children
01113030200,1980,46.46620427,51.48884403,1.911406379,0.078356327,0.055189196,0.026118777,-9999,-9999,-9999,0.029070419,-9999,-9999,16.60405723,33.80916688,34.65345977,11.83833179,37.73584838,-9999,-9999,-9999,-9999,-9999,0.66817361,0.676582544,0.107426745,-9999,0.203193055,0.232220634,2.148040924,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,94.37022914,0.265200948,22.19401371,35.5315271,8.090528551,24.56333879,-9999,10.35616136,21.63807259,5281.000064,9325.842418,5784.437138,5281.000064,-9999,2651.449752,45.15317292,0.390993161,28.61892241,33.80916602,56.47194484,88.6792419,-9999,-9999,6.793005197,25.8500826,57.94281407,18987.97309,69.00000074,57.56263854,68.23479057,32.45069548,20.19618854,4.695371235,38.3106732,32.1806286,29.68924436
01113030300,1980,94.96522889,4.172461709,0.417246176,0.083449233,0.33379693,0.027816412,-9999,-9999,0.250347711,0.055632824,-9999,-9999,19.94194481,21.48040529,25.33333306,24.66666694,-9999,-9999,-9999,-9999,-9999,-9999,0.278164126,-9999,0.055632824,-9999,0.166898465,2.225313011,12.07232248,0.166898465,1.029207233,-9999,1.029207232,1.579731692,0.149031302,-9999,-9999,0.862308762,-9999,-9999,89.31398753,3.034300757,11.27049173,37.3172282,11.16243208,30.7929176,4.926866793,19.88595919,18.78306935,10862.00008,14747.70672,3214.28557,10862.00008,-9999,4962.999972,20.61196126,0.09594534,11.16367073,17.96806881,81.33333326,-9999,-9999,-9999,7.916936868,66.10288838,15.31473076,21769.00059,93.99999845,44.77611859,51.23326159,24.78442254,21.72461681,4.756606511,60.02087675,23.79958229,12.86660284
01113030401,1980,94.63387793,4.430351433,0.599417435,0.116960459,0.160923269,1.30E-05,-9999,0.01461517,0.05857798,0.029256406,-9999,0.05846068,21.79498236,13.265578,4.084601249,52.20857569,22.44898057,7.142857454,-9999,-9999,-9999,-9999,0.263203392,0.01461517,0.160792936,-9999,0.469203711,2.478613677,7.394396461,7.84E-05,0.997374875,0.13194148,0.762812267,2.32414549,0.109222951,-9999,0.117281315,0.469530538,-9999,-9999,69.83525387,13.87065472,4.09498875,52.87519539,30.42910042,21.21084026,7.300015575,18.88173224,11.11687711,19107.6663,21562.974,3214.28571,19107.6663,-9999,7292.907723,7.802258757,0.017120799,4.564521687,7.625334692,14.13176974,20.40816416,-9999,-9999,6.105167125,73.53647605,17.77221602,40440.20659,184.9389565,12.33956777,71.35992274,27.31275073,13.06152578,3.509869313,65.44036633,15.88692295,6.26878183
01113030402,1980,94.63260475,4.431510854,0.599512853,0.116962839,0.160930287,1.54E-05,9.28E-06,0.014612859,0.058568716,0.029268016,4.64E-06,0.058451435,21.79498318,13.26557846,4.095599429,52.18959666,22.44898031,7.14285758,-9999,-9999,-9999,-9999,0.263282364,0.014612859,0.160783738,9.31E-06,0.469175816,2.478609018,7.394228584,0.000101695,0.997398145,0.131969406,0.762793616,2.324043614,0.109237892,-9999,0.117262708,0.469523518,-9999,-9999,69.83707246,13.86976431,4.095430752,52.87462584,30.4271484,21.21217805,7.299953373,18.8815496,11.11709952,19107.22944,21562.61639,7936.220708,19107.22944,-9999,7292.694585,7.802830766,0.017121866,4.564655785,7.625335125,14.13690601,20.40816364,-9999,-9999,6.105192017,73.53808051,17.77010052,40438.91785,184.932561,12.33986952,71.35898986,27.31334848,13.06120422,3.509627364,65.44046478,15.88647361,6.268662936
01113030500,1980,96.23047968,2.369413042,1.077005928,-9999,0.215401186,-9999,-9999,0.053850296,-9999,0.161550889,-9999,-9999,19.97880233,17.80604134,-9999,-9999,29.54545455,-9999,-9999,-9999,-9999,-9999,0.646203557,-9999,0.053850296,-9999,0.55865922,1.625190459,7.059421058,-9999,2.894870506,0.60944642,2.133062469,2.185792359,0.765027326,-9999,-9999,0.406297613,-9999,-9999,83.52745424,5.740432612,6.28742515,52.74056029,14.8029819,22.89669862,5.644302449,18.94243641,11.90289742,14309.99994,14571.42905,-9999,14309.99994,-9999,6457.999972,10.68702295,0.155391099,5.582922824,11.1524164,-9999,-9999,-9999,-9999,10.85080148,65.42185339,15.39393939,28305.99988,102.9999995,27.87878788,63.32882273,24.28648368,18.68605285,4.469574602,63.2283992,21.36637642,7.389162562
01113030600,1980,67.32577368,31.46733734,0.65861334,0.131743463,0.219559022,4.33E-05,5.99E-05,-9999,0.087586164,0.087697584,0.043935227,8.99E-05,23.58143709,12.61255307,27.14535845,10.16639513,26.31492671,7.898398023,-9999,-9999,-9999,-9999,0.416784475,1.60E-05,0.109668845,-9999,0.000696591,1.554532252,5.284019555,0.00044168,0.400993151,0.089419337,0.400118949,1.517390569,0.16819171,-9999,-9999,0.399382104,-9999,-9999,86.64370451,4.973145783,7.815323264,54.78364463,13.74167254,32.61542853,3.968975808,16.17983328,13.52526779,12330.13191,15853.60866,12332.45304,12330.13191,-9999,4939.44425,21.29025629,0.071246486,12.63149546,15.15994328,32.23814893,44.73659739,-9999,-9999,6.216313398,64.60032132,18.23301156,27339.01831,142.8792463,18.70748521,71.27160744,31.80342338,11.43194229,1.936774877,58.96153598,18.50504771,14.44812256
01113030700,1980,54.38386998,44.6309875,0.67868509,0.115621888,0.190708167,0.029568419,0.053662348,-9999,5.70E-05,0.026898421,2.85E-05,0.08049352,20.72923257,18.25024173,23.56351383,16.98961396,32.04322407,3.93533786,-9999,-9999,-9999,-9999,0.322929814,0.046615354,0.061955572,-9999,0.618035904,1.559424435,1.884915593,0.16120797,0.752560599,0.053793042,0.591352627,1.250649571,0.000107993,-9999,-9999,0.376408664,-9999,-9999,93.12260681,3.417178906,12.79252986,47.85394589,10.78073683,35.13346466,4.393741321,16.17800749,18.94839886,9647.090397,12734.46525,5561.067208,9647.090397,-9999,4401.94637,32.63121585,0.123271462,15.46845459,20.67812677,47.62364639,66.77500439,-9999,-9999,11.62185971,51.73770277,25.51119591,16755.88661,100.1196734,44.27712013,54.01311413,26.75021255,18.40194592,4.550538207,50.37281511,27.08755842,16.95542863
01113030800,1980,5.306971836,93.52757373,1.123829342,-9999,0.041623309,0.041623309,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,18.18181753,42.42424042,-9999,-9999,-9999,-9999,0.998959424,-9999,0.062434964,-9999,-9999,0.166840457,0.417101156,-9999,0.104275289,-9999,0.104275287,2.462941842,0.250855192,-9999,-9999,-9999,-9999,-9999,92.32006964,2.3321271,14.54229417,44.1648826,4.677966233,51.2542372,1.966101662,9.522351723,15.88952625,7358.999973,-9999,9056.450594,7358.999973,-9999,3601.00017,40.02085469,0.116997096,26.51888327,-9999,-9999,42.42424042,-9999,-9999,5.595667919,43.27597247,36.91194307,-9999,61.00000025,31.66465757,68.64623485,35.5879292,15.06763805,3.579604637,41.77400528,28.04449627,25.5336617
01113030901,1980,91.74576752,7.615473237,0.391522665,0.123599255,0.185409602,7.14E-06,-9999,-9999,-9999,0.041199752,0.061817486,-9999,25.74035776,12.23055474,30.05067391,7.660514346,-9999,-9999,-9999,-9999,-9999,-9999,0.123642115,1.43E-05,0.061796056,-9999,-9999,1.741776529,7.112423333,0.145130663,0.498324293,0.166331018,0.332108341,1.013392055,-9999,-9999,-9999,0.207480524,-9999,-9999,88.7172865,3.553315751,10.79534006,50.11277963,8.219662009,41.45280232,3.833192137,17.22545401,12.04147767,14468.49749,15645.16092,19152.9412,14468.49749,-9999,5111.773153,15.82512384,0.046025654,8.489426815,16.29224728,10.1492001,-9999,-9999,-9999,5.83048787,78.78527055,2.778845123,27472.29177,114.9924545,17.94113311,68.2540718,30.59419146,11.61925153,2.204318954,68.34233144,13.81845766,4.543765796
01113030902,1980,38.54535338,60.39215662,0.754863374,0.083957694,0.167850598,0.027942705,-9999,-9999,-9999,0.027985899,0.111835611,-9999,23.73255752,10.89934404,28.11659786,12.64939309,-9999,-9999,-9999,-9999,-9999,-9999,0.251613934,0.05588541,0.028007495,-9999,-9999,0.812158178,3.975299382,0.000151179,2.850693803,1.816461131,1.481319133,1.428572347,-9999,-9999,-9999,0.587016823,-9999,-9999,85.91715225,4.407632892,6.748174482,46.38707015,7.308766599,43.45917591,6.535275246,8.915143187,9.770263183,12217.70749,15645.16121,12141.48463,12217.70749,-9999,4223.931834,22.87376854,0.075083399,12.81236929,12.69704858,29.59117676,-9999,-9999,-9999,11.69990283,75.26100242,7.143935086,24155.17072,86.02982544,23.33015844,64.43023088,33.98245753,11.49663253,2.014185687,54.89099665,16.50567386,12.11563328
