geoid,"% white, non-Hispanic","% black, non-Hispanic",% Hispanic,% Native American race,% Asian and Pacific Islander race,% Hawaiian race,% Indian birth/race,% Chinese birth/race,% Filipino birth/race,% Japanese birth/race,% Korean birth/race,% Vietnamese race,"% 15 and under, non-Hispanic white","% 60 and older, non-Hispanic white","% 15 and under, non-Hispanic black","% 60 and older, non-Hispanic black","% 15 and under, Hispanic","% 60 and older, Hispanic","% 15 and under, Native American","% 60 and older, Native American","% 15 and under, Asian/  Pacific Islanders","% 60 and older, Asian/  Pacific Islanders",% Mexican birth/ethnicity,% Cuban birth/ethnicity,% Puerto Rican birth/ethnicity,% Russian/USSR parentage/ancestry,% Italian parentage/ancestry,% German parentage/ancestry,% Irish parentage/ancestry,% Scandinavian parentage/ancestry,% foreign born,% immigrated in past 10 years,% Naturalized,"% speaking other language at home, age 5+","% speaking English not well, age 5+",% Russian/USSR birth,% Italian birth,% German birth,% Irish birth,% Scandinavian birth,% with high school degree or less,% with 4-year college degree or more,% unemployed,% female labor force participation,% professional employees,% manufacturing employees,% self-employed,% veteran,% with disability,"Median HH income, total","Median HH income, whites","Median HH income, blacks","Median HH income, Hispanics","Median HH income, Asian/ Pacific Islanders",Per capita income,"% in poverty, total","% in poverty, 65+","% in poverty, families with children","% in poverty, whites","% in poverty, African Americans","% in poverty, Hispanics","% in poverty, Native Americans","% in poverty, Asian/ Pacific Islanders",% vacant units,% owner-occupied units,% multi-family units,Median home value,Median rent,% structures more than 30 years old,% HH in neighborhood 10 years or less,"% 17 and under, total","% 60 and older, total","% 75 and older, total","% currently married, not separated","% widowed, divorced and separated",% female-headed families with children,year
48201100000,62.08658137,17.12225911,16.59610184,0.932228397,3.122908433,0.046612415,0.233065049,0.978806426,2.59E-06,0.046618426,4.72E-06,1.817798811,1.044179901,27.34830498,7.288908477,9.097098441,26.03475633,16.78633047,,,57.31707317,10.97560976,14.77816167,0.139856959,0.279671454,0.518756168,1.70E-05,4.008681171,1.698067381,0.471596516,11.79174142,9.055828433,3.867876229,18.50297974,6.799084279,,,5.35E-05,,,63.60861346,19.86737368,10.08036523,44.96942173,25.45051321,13.48543986,7.726095332,29.49391087,29.89455754,9011.862531,20414.65775,9822.518069,9011.862531,2500,7151.430153,39.25585564,0.325843167,35.49806112,28.27555157,44.85688099,63.48118004,,79.26829268,28.05637491,4.726806651,95.7757634,14601.67494,232.9819184,47.35583205,87.16010395,9.933942447,15.38441628,2.704139161,23.51371697,39.35273662,37.37074934,1980
48201210100,7.089942395,4.147719772,88.68344669,0.006068355,0.039444299,0.003034177,,0.021239238,,,,0.015170883,43.34203693,4.438642443,30.36576746,13.87163544,49.085366,2.591463396,,,,,78.15017898,10.41190222,0.027307589,,,0.034293829,,,7.872244534,3.643724694,1.07962213,30.51881822,10.4272632,,,,,,90.33530188,4.240631032,7.380073646,44.21686776,10.62416943,18.19389088,6.108897319,6.628653315,11.72690726,59525.08776,13653.84582,6250.000492,59525.08776,,3495.000041,47.81826508,0.16593384,1.281135039,18.79895467,52.38095219,48.17073191,,,34.87162713,32.46600783,2.079024157,19614.99946,130.4350235,96.94643335,4.125158777,5.800881824,28.78152017,3.710333848,19.74657704,34.5997087,1.089348346,1980
48201210400,10.56304205,11.21123171,77.62958302,0.127743133,0.227106461,0.014196434,0.042573563,0.014208316,2.70E-06,7.21E-06,0.014191188,0.141927052,22.18602457,22.32112971,29.94538877,25.74539794,32.61019317,8.032895456,,,,,74.64915037,4.95E-05,0.141923404,6.69E-06,0.202885308,0.608748659,0.608830392,0.130375696,23.75717322,14.68904062,4.809310589,70.66599342,24.99486726,0.086910887,0.043455444,1.87E-05,,,92.36055256,3.328461015,3.897444279,39.33445427,7.399412008,16.78576551,4.581763011,7.737094261,6.793722111,12131.32995,17500.0126,8786.797569,12131.32995,,4207.333174,30.41764882,0.066638385,19.98549137,18.14480715,49.32182028,29.77498628,,,7.665272047,37.91382167,36.40435224,28318.01512,147.0063917,60.13724128,66.46726346,37.04097575,12.33374992,3.605202416,49.69099155,20.1609177,13.05753324,1980
48201210500,14.41366033,15.76187351,69.04236635,0.107075847,0.223952689,0.015093529,0.00316082,0.150935291,0.051602228,,,,23.23107447,18.28149053,26.814866,12.64549758,31.33890468,4.888637632,48.71794961,,,,65.84288087,0.037219271,0.11971913,0.167449814,1.236394156,1.446110732,1.850793356,0.018964904,21.87856879,14.24560174,4.707827984,61.72028156,17.54144268,0.126432696,0.045280547,0.13584164,,0.018964904,92.98567893,2.748762789,4.439429651,41.25496102,4.737211791,20.55109902,4.226251442,10.4099021,6.066898776,12277.02016,14964.88185,9594.064182,12277.02016,,4450.120975,23.25147051,0.028627208,14.6653404,21.32323569,48.71858605,19.57494493,100,,6.88339184,45.84410929,24.90729855,27178.70601,178.0772977,50.13402736,61.50471933,33.42550984,12.23757367,3.250486108,53.17384075,17.98500021,13.32287642,1980
48201210600,45.32877505,0.772742652,51.48487299,0.065661226,1.721458368,,,1.474402239,0.03302897,,0.016382247,0.181262618,18.65276694,29.77043835,27.71084432,,31.56666926,6.793742468,,,,29.03225816,48.80385414,0.049278979,0.14863037,,1.565173397,7.800213302,2.259575269,0.214423834,11.2969358,4.098237148,4.072598236,43.97804556,7.335220621,0.131057979,0.098293484,,,,84.08937671,5.014596513,4.12864904,47.00692158,10.34447626,18.28735509,7.571815534,15.49886634,8.710355701,16190.44296,20352.73912,,16190.44296,,6681.272828,16.27286641,0.032371483,8.857046194,11.25623424,,21.7528192,,43.54838571,5.887344589,66.99638893,15.80283302,40253.01815,208.8833573,55.92544189,52.06181848,26.53314715,21.44283545,4.787202139,60.21557752,18.2154083,5.216810493,1980
48201210700,3.429471235,51.89834305,43.93900959,0.031697204,0.191100498,,,0.188807309,0.000458638,,,0.001834552,21.5287248,12.27138379,23.85465731,18.2031967,31.46800289,11.05756642,,,,,42.06382953,0.063165088,0.033531756,,0.015364342,0.819029518,0.183710752,0.002522504,9.573956071,4.278396236,2.216735038,39.73921568,10.56954068,,,,,,90.33558324,1.600511043,5.412071951,42.77973492,9.55216857,22.69688343,3.983591687,10.94538424,10.73490677,11952.33037,18167.83283,10023.73148,11952.33037,,4536.948133,27.58406797,0.121427357,19.48536836,9.480153534,39.43918086,12.54760258,,,5.685803118,50.21452683,9.352980692,24085.34422,145.2789669,41.28274385,47.54203585,32.9445354,14.08321659,3.464703648,45.93129179,20.75459599,16.89585471,1980
48201210800,1.657224926,79.81236559,18.25085784,0.019969,0.079876001,0.039938,,,0.039938,,,,32.3883614,20.75555876,23.97950278,17.75719361,39.11586068,9.884387835,,,,,17.95132283,,0.019969,,,,,,8.62003392,6.188213037,1.996873503,19.17214663,8.192055093,,,,,,87.50876001,5.743194097,7.530230201,49.44308332,6.327842839,15.1453066,1.711655026,9.95524568,13.1285152,8382.820377,17916.66667,9147.823337,8382.820377,,3740.898152,41.46157876,0.138747717,26.59004867,36.1587299,39.30198491,52.47119199,,,13.59823857,30.22662513,39.75501611,21716.05155,132.2926866,55.11011645,64.1971667,32.74762591,15.97459398,3.654230833,37.52344966,29.10703899,24.9778961,1980
48201210900,1.411136591,91.7620159,6.712433101,,0.114416474,0.114416474,,,,,,,9.18367339,41.83673781,25.9477666,14.95366371,24.99999999,10.18518465,,,,,6.674294311,,,,0.622083984,,,,0.933125957,0.699844479,,8.048883179,0.927096481,,,,,,86.28858909,3.804737928,6.343283499,49.2063469,8.16733083,11.2549797,3.98406353,7.322287378,16.7641338,11569.00006,,14114.58346,11569.00006,,3751.999845,29.79838765,0.175598338,18.8870144,26.53061198,31.24452235,,,,10.59225511,56.17834645,13.7656425,21772.99979,134.0000004,40.15927035,42.08494502,32.37986181,15.40808569,4.30968721,44.35360427,24.32294387,22.25969642,1980
48201211000,2.216407147,93.89455731,3.463684852,,0.312095013,0.113898145,,0.198196868,,,,,22.11566239,26.79064997,25.76452797,14.5471131,31.60511071,12.23634482,,,,,3.208646045,0.028313838,,,0.003428587,,,,2.185542022,1.419700763,0.736238674,9.514170874,1.917560068,,,,,,84.92531644,5.671968485,8.650959976,50.17244539,11.15975323,18.05027296,3.385695762,7.272290838,14.24019941,9195.351835,,10912.59168,9195.351835,,4284.988768,32.29138905,0.100359316,19.5260381,87.27721827,31.62901893,41.1549219,,,9.228316185,36.06948852,32.4081586,23238.67755,139.9797578,27.80211433,60.36015268,32.20486105,14.80975848,4.27128755,37.23894551,29.70542978,29.60826285,1980
48201211100,0.831420506,84.5702107,14.13745666,0.04460052,0.188199603,0.072580963,,0.10368709,0.000781421,0.01115013,,,27.11283224,16.69962329,28.21259291,15.02289749,28.54420764,13.78364024,,,,,13.51554436,0.041474836,,,,0.007053534,0.00391863,,3.135494631,1.704943189,1.380273582,15.60796219,2.988939069,,,,,,86.10587228,4.238131138,7.530047035,45.07376703,8.260039931,18.85101341,3.000805555,9.647863719,13.75221419,8964.42223,13507.86502,9595.67409,8964.42223,,3926.807534,33.58768473,0.067192765,22.50994136,24.71094518,35.25602766,24.25993504,,,13.14860109,35.96944316,21.88291693,20842.18651,131.603636,50.10337302,57.54837137,33.50023479,14.92247189,3.649035794,38.72507094,29.14880516,31.49527006,1980
48201211200,0.601410193,85.10991421,14.16424742,0.082953133,0.041476566,,,,0.020738283,0.020738283,,,9.294871146,28.52563948,29.67115177,11.01146002,25.33532028,15.05216119,,,,,13.89464985,,,,,0.191042236,0.106134583,,3.523668108,2.801952877,1.613245595,15.47365985,5.055516256,,,,,,84.9367063,5.485232015,6.583541238,52.90796253,7.634810136,16.97811047,3.09663631,11.26974431,12.63563203,11214.00044,8392.856916,12443.60971,11214.00044,,4478.000071,25.83386324,0.067250866,16.96202567,31.0897426,26.08478847,22.95081797,,,9.601347344,36.52173636,37.63260694,21709.00077,162.9999972,28.08486844,63.20400904,34.0937381,11.88303577,3.007050924,41.80823509,25.5686729,29.53586458,1980
48201211300,0.649715261,95.84406491,3.147757126,0.190433335,0.089615687,0.011201961,,0.033605883,,0.044807843,,,82.49997805,,22.7659321,20.17942653,38.35646823,,,,,,2.598860788,,0.123221825,,0.170164298,,,,2.597846526,1.554167255,0.873514972,5.199275014,1.655432676,,0.170164298,,,,85.51347666,6.520886169,10.01173828,43.20586545,7.928222057,15.49755455,2.414352973,11.23628638,15.04889865,7515.211244,,9224.933392,7515.211244,,3946.724646,40.54701681,0.221501608,25.38570452,100,40.41880892,45.79479633,,,17.00943193,28.57146651,28.43348147,22320.78028,101.5644974,62.34608899,55.58097786,30.4133536,19.78268687,6.239500366,30.80219407,35.95804012,30.85554252,1980
48201211400,0.69046603,90.70099955,8.25797869,0.05848566,0.194681937,0.019454426,,6.88E-05,0.038939447,0.0389165,,0.097272128,29.72097383,17.79644072,29.28973108,18.15458925,40.86572019,6.962785381,,,,,7.595120819,0.136257469,0.058462713,,0.000122383,0.000642508,0.000604264,,3.653176816,2.616837254,1.67710434,9.641799112,3.068972785,,9.18E-05,,,,88.59507552,4.819459747,7.939105231,52.52575841,7.933157953,15.81879366,5.921023967,9.10947,13.72549349,7318.600861,9038.643991,9381.124867,7318.600861,,3509.529133,43.52857189,0.081401245,32.43538727,42.01423407,42.06855729,63.10550308,,,9.787233423,27.19481767,43.85079113,21323.57854,106.017738,48.79214781,62.52701987,36.20925699,16.38673026,4.41722548,31.30810494,33.70173291,40.77453324,1980
