states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,statefp10_county,countyfp10,countyns10,geoid10_county,name10_county,countyid
1,AL,AL,33860,Montgomery,1,1,161526,1001,Autauga,1001
1,AL,AL,19300,Daphne-Fairhope-Foley,1,3,161527,1003,Baldwin,1003
1,AL,AL,13820,Birmingham-Hoover,1,7,161529,1007,Bibb,1007
1,AL,AL,13820,Birmingham-Hoover,1,9,161530,1009,Blount,1009
1,AL,AL,11500,Anniston-Oxford-Jacksonville,1,15,161533,1015,Calhoun,1015
1,AL,AL,46740,Valley,1,17,161534,1017,Chambers,1017
1,AL,AL,13820,Birmingham-Hoover,1,21,161536,1021,Chilton,1021
1,AL,AL,21460,Enterprise,1,31,161541,1031,Coffee,1031
1,AL,AL,22520,Florence-Muscle Shoals,1,33,161542,1033,Colbert,1033
1,AL,AL,45180,Talladega-Sylacauga,1,37,161544,1037,Coosa,1037
1,AL,AL,18980,Cullman,1,43,161547,1043,Cullman,1043
1,AL,AL,37120,Ozark,1,45,161548,1045,Dale,1045
1,AL,AL,42820,Selma,1,47,161549,1047,Dallas,1047
1,AL,AL,33860,Montgomery,1,51,161551,1051,Elmore,1051
1,AL,AL,23460,Gadsden,1,55,161553,1055,Etowah,1055
1,AL,AL,20020,Dothan,1,61,161556,1061,Geneva,1061
1,AL,AL,46220,Tuscaloosa,1,65,161558,1065,Hale,1065
1,AL,AL,20020,Dothan,1,67,161559,1067,Henry,1067
1,AL,AL,20020,Dothan,1,69,161560,1069,Houston,1069
1,AL,AL,42460,Scottsboro,1,71,161561,1071,Jackson,1071
1,AL,AL,13820,Birmingham-Hoover,1,73,161562,1073,Jefferson,1073
1,AL,AL,22520,Florence-Muscle Shoals,1,77,161564,1077,Lauderdale,1077
1,AL,AL,19460,Decatur,1,79,161565,1079,Lawrence,1079
1,AL,AL,12220,Auburn-Opelika,1,81,161566,1081,Lee,1081
1,AL,AL,26620,Huntsville,1,83,161567,1083,Limestone,1083
1,AL,AL,33860,Montgomery,1,85,161568,1085,Lowndes,1085
1,AL,AL,26620,Huntsville,1,89,161570,1089,Madison,1089
1,AL,AL,10700,Albertville,1,95,161574,1095,Marshall,1095
1,AL,AL,33660,Mobile,1,97,161575,1097,Mobile,1097
1,AL,AL,33860,Montgomery,1,101,161577,1101,Montgomery,1101
1,AL,AL,19460,Decatur,1,103,161578,1103,Morgan,1103
1,AL,AL,46220,Tuscaloosa,1,107,161580,1107,Pickens,1107
1,AL,AL,45980,Troy,1,109,161581,1109,Pike,1109
1,AL,AL-GA,17980,Columbus,1,113,161583,1113,Russell,1113
13,GA,GA-AL,17980,Columbus,1,113,161583,1113,Russell,1113
